,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf
Ghost in a Teeny Bikini,0.585807090168,0.78650653922,0.343105508245,0.502662799902,0.4086088992,0.308984544599,0.189378313271,0.474774304794,0.234702726515,0.68435630867,0.944557501624,0.211304084932,0.644102288745,0.265619526316,0.409860763239,0.965438901208,0.368254797437,0.933274849913,0.871710913386,0.568572738978,0.537941836585,0.244456892726,0.978091075488,0.514486727886,0.784380162536,0.462553345273,0.116533009152,0.200810140399,0.324018794117,0.418008744812,NOT RATED,English,USA,Fred Olen Ray,2006,"Comedy, Musical",84,406,Christine Nguyen, Nicole Sheridan,3891.0,0.30300693909,1.17561521253,0.891233665686
Daens,0.438908402877,0.475255749512,0.144874705778,0.598838326976,0.594352110531,0.563896756829,0.567443731985,0.60568772151,0.150987994955,0.733750912286,0.93635905065,0.104321983518,0.679760543949,0.126021034512,0.198431780298,0.988325903914,0.594102716841,0.827178552816,0.916621937091,0.913018798316,0.587118325863,0.271308668631,0.976755240344,0.247278289772,0.774643930305,0.426579499267,0.283165573495,0.168862807878,0.271196128493,0.212749671977,N/A,"Flemish, Dutch, French, Latin, Spanish","Belgium, France, Netherlands",Stijn Coninx,1992,"Biography, Drama, History",138,"3,084",Jan Decleir, Gérard Desarthe,8237.0,0.232001942455,1.40444184687,0.905176396009
Echoes of War,0.377981073412,0.66258944334,0.0447321754457,0.84073330904,0.434164391323,0.279927363735,0.265221639186,0.751452924636,0.227798548641,0.705850492691,0.974899389461,0.0365053979237,0.770398683026,0.0934812935986,0.304237183113,0.92935884714,0.837719749082,0.927114720169,0.872920105038,0.787623082876,0.718906040635,0.768366764233,0.77742766067,0.173815023548,0.685257293067,0.201021197731,0.148592010149,0.079372776554,0.910498788282,0.0351622606748,R,English,USA,Kane Senes,2015,"Drama, Thriller, Western",100,"1,322",James Badge Dale, Ethan Embry,4316.0,0.231927710843,1.109,0.846962496075
Dagon,0.0614313927533,0.241884365487,0.10208505973,0.834649399085,0.162059788207,0.383393967258,0.29475015334,0.494287199163,0.726143269595,0.184413172275,0.655522841447,0.17504018928,0.446789085961,0.316243817902,0.184905196864,0.853602224172,0.728188624216,0.850309432597,0.521111936184,0.600220982276,0.90978525622,0.662317285707,0.839137626764,0.592154573257,0.723871976863,0.477340340322,0.449943870739,0.0382053525633,0.77803300245,0.0560602794148,R,"English, Gallegan, Spanish",Spain,Stuart Gordon,2001,"Fantasy, Horror, Mystery",98,"12,883",Ezra Godden, Francisco Rabal,2790.0,0.328315412186,1.82321428571,0.86088066169
Hotel Desire,0.558216312701,0.700246443923,0.167302346829,0.602592327146,0.477805225625,0.539135632339,0.392247733395,0.697811489869,0.274894271564,0.753852460784,0.85567161725,0.186136498906,0.816656395108,0.296477926004,0.356412901161,0.832504030187,0.692729256856,0.812523962024,0.837440345885,0.724826924579,0.630584026014,0.458896490373,0.734113584455,0.201647721724,0.5523811699,0.286328455708,0.356609436685,0.316813905953,0.702724135033,0.294533893594,N/A,German,Germany,Sergej Moya,2011,"Short, Drama, Romance",38,"1,473",Saralisa Volm, Clemens Schick,1461.0,0.418206707734,1.67457627119,0.890743948159
Nostalgia,0.544084456956,0.580338948012,0.278494782089,0.461059004485,0.294436503332,0.313729038267,0.33625538604,0.295909423552,0.402371895499,0.564440640001,0.892383495211,0.321540305522,0.963815298899,0.354114208063,0.510952844036,0.993048095106,0.492083274142,0.895973235394,0.977579473794,0.698148265415,0.64229513614,0.318964757575,0.983610911611,0.710127321366,0.935105922369,0.66740824367,0.240218538931,0.196105351808,0.401609887846,0.426217473169,NOT RATED,"Italian, Russian","Italy, Soviet Union",Andrei Tarkovsky,1983,Drama,125,"13,425",Oleg Yankovskiy, Erland Josephson,3203.0,0.326256634405,1.24890829694,0.888130010295
Kung Pow: Enter the Fist,0.217255389521,0.666147548517,0.364854265936,0.797035067164,0.146273957225,0.045730202061,0.0376985642827,0.372618103448,0.219365734745,0.742526496594,0.934253975906,0.101493610848,0.345484542802,0.240676522234,0.372376526762,0.684349695352,0.210693600532,0.925309420953,0.364891557428,0.226840312604,0.786524545827,0.139863157893,0.808079505483,0.439502363707,0.717191317846,0.408746687439,0.238499761391,0.101504155668,0.38141533806,0.252560135777,PG-13,English,"USA, Hong Kong, Taiwan",Steve Oedekerk,2002,"Action, Comedy",81,"38,181",Steve Oedekerk, Fei Lung,4444.0,0.289378937894,1.60255047821,0.868453628807
Unknown,0.24676597792,0.415922351392,0.0279787273534,0.797283714575,0.25037112364,0.293543903959,0.185813153515,0.706732514363,0.287332042881,0.610025384457,0.905613957937,0.0151065527732,0.319484697681,0.0348148376018,0.317410211897,0.388303997783,0.845260351951,0.84036497526,0.489961971516,0.822268882328,0.798666173823,0.927392571773,0.649286943734,0.0460217403341,0.166330211201,0.18608779602,0.136057065978,0.0569516879408,0.745104540653,0.0397960979654,PG-13,"English, German, Turkish, Arabic","UK, Germany, France, USA",Jaume Collet-Serra,2011,"Action, Mystery, Thriller",113,"212,255",Liam Neeson, Diane Kruger,6267.0,0.209829264401,1.14137214137,0.858316196138
Vikramarkudu,0.208003660584,0.164661297583,0.170894776567,0.658266402397,0.238456349091,0.363533858544,0.311707846152,0.45276961326,0.439808428503,0.169455239558,0.856032676535,0.267425090492,0.72410687977,0.346510517101,0.201086641566,0.872829299748,0.564074847405,0.93603723958,0.750204740871,0.758657703079,0.553650749546,0.336120619198,0.736468314625,0.442853590975,0.369839383917,0.651508590439,0.781460903967,0.0175214865974,0.477174648131,0.0124233099525,N/A,Telugu,India,S.S. Rajamouli,2006,"Action, Comedy, Crime",140,"2,133",Ravi Teja, Anushka Shetty,9411.0,0.211454680693,1.31540565178,0.886964024992
Quarantine,0.314549115156,0.667408609941,0.044214066901,0.865037310909,0.373449093673,0.221433763585,0.3185798524,0.887150709071,0.20618845324,0.833517498817,0.980454130164,0.0263178791563,0.273246602217,0.0770892470459,0.24703834889,0.348648994011,0.82974995921,0.974844949194,0.321720381719,0.585887871236,0.851408244379,0.848324348733,0.483459617669,0.0380685241819,0.314851232734,0.167846889169,0.124665598853,0.0878549119275,0.803532446739,0.0405799147838,R,English,USA,John Erick Dowdle,2008,"Horror, Sci-Fi, Thriller",89,"58,029",Jennifer Carpenter, Steve Harris,8622.0,0.155880306193,1.33908948195,0.797639012586
Jason Bourne,0.551259169058,0.526863225266,0.0611968949775,0.535450914893,0.673603078746,0.544922926525,0.641475515134,0.792724444108,0.171380878441,0.771964625235,0.92709697929,0.02923197764,0.418980786775,0.0493226258666,0.158276454123,0.895696685112,0.796849887692,0.813093476498,0.706981743568,0.895416614796,0.777121222551,0.594281358091,0.935536021847,0.105474923562,0.200430761061,0.290355773865,0.22922670432,0.338035850049,0.496277782322,0.170168383872,PG-13,"English, German","UK, China, USA",Paul Greengrass,2016,"Action, Thriller",123,"78,018",Matt Damon, Tommy Lee Jones,4902.0,0.271929824561,1.26947179946,0.905150382689
Willy Wonka & the Chocolate Factory,0.508145049479,0.714470599134,0.173025597247,0.810508247611,0.309594146456,0.399417162095,0.180600575342,0.602400150112,0.254093149826,0.780936368477,0.949321045961,0.0405473596433,0.424024824639,0.0931000251292,0.634245908648,0.765116804003,0.536748427169,0.875315686736,0.673763017857,0.622903554113,0.793054516954,0.607094596107,0.927287596379,0.334475056907,0.721197766079,0.351885400035,0.100288888274,0.188061759355,0.363719397702,0.400432013695,G,"English, French, German",USA,Mel Stuart,1971,"Family, Fantasy, Musical",100,"132,049",Gene Wilder, Jack Albertson,9037.0,0.225849286268,1.42536534447,0.878171399091
Like Dandelion Dust,0.597787021443,0.876910756104,0.0256836118436,0.809682464796,0.572525278146,0.225274523996,0.277541200077,0.904724922861,0.142823210333,0.807413647124,0.994705748276,0.0129721406563,0.505042416932,0.07950942934,0.274189832043,0.799317620494,0.920073093432,0.99477883698,0.816413696526,0.685905588946,0.781801885381,0.891217954337,0.547639350762,0.00594091856263,0.324359764124,0.142300258297,0.0643726291816,0.156498526127,0.945426193442,0.0158250961479,PG-13,English,USA,Jon Gunn,2009,Drama,100,"2,330",Mira Sorvino, Barry Pepper,7683.0,0.169465052714,1.24261363636,0.893777252492
Damage,0.790622329799,0.86505410148,0.113893700864,0.405495645661,0.437763369411,0.307105516275,0.289118522809,0.665978868142,0.122165613524,0.806245102401,0.968184727365,0.142638784251,0.879940904475,0.210687049491,0.430847391242,0.986874734059,0.787260647684,0.952990244921,0.962361547388,0.731446472815,0.285406775841,0.674783671806,0.813452602688,0.10248760422,0.508871963801,0.263853259352,0.154053811537,0.353855576459,0.771746748503,0.15387439865,R,"English, French, German, Italian","UK, France",Louis Malle,1992,"Drama, Romance",111,"12,384",Jeremy Irons, Juliette Binoche,4884.0,0.247338247338,1.04065743945,0.905984360399
Hot Shots,0.290359885771,0.485006897014,0.0974643640541,0.810650934392,0.359641840734,0.477480803679,0.285439518968,0.600614933628,0.446541997808,0.525432848783,0.833121643471,0.0514318685008,0.40652653833,0.102080045599,0.446467205623,0.750788570046,0.799892992037,0.666799673746,0.509042783766,0.661120127007,0.779523766771,0.737356972949,0.87460492212,0.460136830313,0.586442953168,0.325175537521,0.255034514779,0.244660900224,0.667715130532,0.243645406756,APPROVED,English,USA,Jean Yarbrough,1956,Comedy,62,85,Huntz Hall, Stanley Clements,6143.0,0.281458570731,1.70850536746,0.856816414532
The Standoff,0.586546903032,0.790749737047,0.169171851072,0.436958672945,0.247946462844,0.127585021736,0.155978510459,0.556087553865,0.138327327684,0.812818650617,0.94091939141,0.0808527373356,0.549650047693,0.250701901854,0.515678242578,0.659474639575,0.608416038782,0.9519648207,0.715747464651,0.545197019384,0.646704074807,0.668144448902,0.617493988691,0.0259183922889,0.363813870874,0.272155478293,0.137170996964,0.199966681489,0.641476735545,0.236896510706,UNRATED,English,USA,Michael Thomas Dunn,1999,"Short, Action, Adventure",N/A,108,Joe Granato, Michael Thomas Dunn,10780.0,0.182282003711,1.26934849147,0.863376922532
Silent Partner,0.182953023103,0.194779510392,0.13510667968,0.744237249784,0.284163427368,0.40662777028,0.252282769614,0.497547404118,0.376756856453,0.15777837387,0.726093153067,0.0844702031598,0.249301920257,0.157534004912,0.302126038197,0.557120704794,0.676433138716,0.705749884608,0.29131371245,0.704277252761,0.714971906589,0.600250313757,0.903665853048,0.265827616729,0.288440925798,0.513691851904,0.638663320434,0.0414722712272,0.382885718759,0.123097186112,N/A,"English, Russian","Russia, USA",James D. Deck,2005,"Action, Crime",96,614,Tara Reid, Nick Moran,5809.0,0.24703046996,1.6345177665,0.899979560357
Will Penny,0.277310655464,0.570948604505,0.0393624447102,0.944749104588,0.321445901637,0.390495289821,0.198158363355,0.777313422353,0.293561224464,0.740559945,0.963881654175,0.0105697015579,0.265976759695,0.0283754734954,0.386926284817,0.410105436492,0.780598717611,0.86523018587,0.384138477314,0.75665997832,0.67464621263,0.814523512438,0.69297314427,0.0955146554359,0.339860579532,0.131289879538,0.0946642779225,0.0593916258805,0.751092847334,0.0213018706363,APPROVED,English,USA,Tom Gries,1967,"Romance, Western",108,"3,000",Charlton Heston, Joan Hackett,6413.0,0.218462498051,1.35276532138,0.879819612843
Jason X,0.0812132754625,0.213339490302,0.26781407261,0.75001435406,0.424567165585,0.852518605794,0.447274215944,0.4284782782,0.674960812856,0.20553062564,0.423148942333,0.204179500356,0.228612469814,0.181592910628,0.14371603332,0.494572255251,0.745635426788,0.335932958513,0.366642970456,0.778685244833,0.820732057088,0.600199648524,0.489136447252,0.644042502711,0.334234711863,0.427053861572,0.756706865871,0.26688559234,0.527239428406,0.0970442153097,R,English,"USA, Canada",James Isaac,2001,"Action, Horror, Sci-Fi",91,"39,350",Kane Hodder, Jeff Geddis,4551.0,0.308723357504,1.7989010989,0.827462716042
Zid,0.543488350056,0.659641173079,0.0771745616451,0.459529029756,0.356850696845,0.27507505927,0.282464857245,0.549915533098,0.276382923351,0.376438177473,0.931100018864,0.357029281232,0.945572263335,0.472980106672,0.304723374399,0.986027562915,0.940290510394,0.986438719377,0.974343197276,0.655241663042,0.384165389255,0.772411041447,0.588951812485,0.126353453522,0.471919956713,0.405195218308,0.474287278081,0.12673823088,0.881177582276,0.0469033106624,N/A,Hindi,India,Vivek Agnihotri,2014,"Crime, Thriller",126,705,Mannara, Karanvir Sharma,7159.0,0.177538762397,1.29563614014,0.892554038022
Insomnia,0.641684664433,0.730222451494,0.316429592762,0.445999374163,0.354619708259,0.170185220333,0.103888900372,0.413913609237,0.0414179408869,0.743076002192,0.988181634837,0.149590424372,0.790904185228,0.284179481398,0.492408706854,0.971352704179,0.261514297595,0.963535827191,0.856628738328,0.680068879577,0.213758399853,0.142546416517,0.880883369194,0.0775613197712,0.284493621281,0.489415749266,0.412122252214,0.0329562269379,0.207746333922,0.191044191443,R,English,"USA, Canada",Christopher Nolan,2002,"Drama, Mystery, Thriller",118,"222,030",Al Pacino, Martin Donovan,4096.0,0.25634765625,1.07520325203,0.89389389865
Only Lovers Left Alive,0.523584627454,0.900625297978,0.212801946029,0.654464465964,0.22377565738,0.0851925261706,0.116352206517,0.477053968083,0.204500110341,0.769569314307,0.947803851327,0.127424435316,0.709770992973,0.242520136728,0.53182353946,0.853669141213,0.625509245107,0.966609843554,0.694873691897,0.29384143331,0.754321747439,0.643640277376,0.902862124566,0.283110381059,0.857985220218,0.391315285596,0.106781828268,0.311783523374,0.575820722669,0.501775846858,R,"English, French, Arabic, Turkish","Germany, UK, France, Greece, USA, Cyprus",Jim Jarmusch,2013,"Comedy, Drama, Horror",123,"62,363",Tilda Swinton, Tom Hiddleston,5310.0,0.25329566855,1.49525616698,0.874552671326
United 93,0.633485413136,0.687327183536,0.0118653701133,0.911278123972,0.726037802517,0.646313232195,0.582421167004,0.960257522229,0.0939378952769,0.945041146131,0.961504358485,0.00329412442904,0.155422006905,0.00446435941006,0.123703609276,0.449404848954,0.908899689333,0.723584577781,0.345609323968,0.880657878562,0.847520408856,0.771826751191,0.873724701759,0.0215121913441,0.211301009461,0.0864447615768,0.0854990564579,0.340615891664,0.707394424308,0.146116554975,R,"English, Arabic, German","USA, UK, France",Paul Greengrass,2006,"Drama, History, Thriller",111,"84,359",J.J. Johnson, Gary Commock,11822.0,0.145660632719,1.50119617225,0.885238804723
Norway,0.182758951478,0.36392997548,0.0673944163718,0.718381029909,0.205515074189,0.319297683102,0.16040356501,0.451725580357,0.65186215377,0.258815333924,0.844363377953,0.118294116335,0.612627309705,0.103968570709,0.6748323444,0.758201685611,0.826744313747,0.823435856924,0.698535594815,0.658235923399,0.755311151566,0.920508507549,0.869303533821,0.564817264888,0.70823897461,0.382330450715,0.265153507936,0.131251730985,0.734105816574,0.267259212645,N/A,Greek,Greece,Yannis Veslemes,2014,"Comedy, Drama, Fantasy",73,302,Daniel Bolda, Yannis Bostantzoglou,2636.0,0.312974203338,1.3488372093,0.91572516541
Vikingdom,0.456817275043,0.479254782304,0.270494738663,0.598777688237,0.425595496223,0.359175574485,0.421093422444,0.428976670935,0.346106373068,0.506670530043,0.852346503144,0.167129165118,0.801802314638,0.246941878385,0.271042457062,0.986429987003,0.524571279814,0.938390064587,0.887105860291,0.642899262694,0.530932690594,0.217903188529,0.98896610652,0.698740652176,0.911424509151,0.639269686784,0.23164457487,0.245395275781,0.425888405097,0.169317124562,N/A,"English, Mandarin","Malaysia, USA",Yusry Abd Halim,2013,"Action, Adventure, Fantasy",114,"2,735",Dominic Purcell, Natassia Malthe,5923.0,0.240081040014,1.38683127572,0.914212981732
Private Detective: Two Plus Two Plus One,0.501968408899,0.382682493634,0.272429740475,0.391912288813,0.18510639774,0.278538056454,0.0753746180608,0.258252033215,0.204097408537,0.355023894331,0.94363288496,0.236793785052,0.812273639864,0.307318492598,0.427635622463,0.951306234877,0.318239897355,0.956933134323,0.902418156752,0.720121235895,0.298375287155,0.173794555411,0.843782655436,0.335875057453,0.262196055159,0.611472396974,0.439880304655,0.0099198062429,0.310919386032,0.0331965630366,N/A,Hindi,India,Rajat Kapoor,1997,Mystery,130,43,Shambhavi Kaul, Keneth Desai,6972.0,0.220596672404,0.951428571429,0.900826412963
Fletch Lives,0.442009698023,0.630627366836,0.0616710653412,0.781614557006,0.512365136197,0.509607852695,0.300868611426,0.721557512668,0.255817346853,0.71305192959,0.942052918979,0.0470701295597,0.646253710149,0.073124620319,0.464107383027,0.933674405633,0.851826786901,0.732847545565,0.786750504833,0.731968551729,0.667822474337,0.700086906607,0.922520470686,0.304052584146,0.672365880066,0.17406054882,0.209654392531,0.202702074999,0.73185557494,0.21036632072,PG,English,USA,Michael Ritchie,1989,"Comedy, Mystery, Crime",95,"15,468",Chevy Chase, Hal Holbrook,9988.0,0.238285943132,1.56002009041,0.898413748057
Kung Fu Panda,0.49123754772,0.784566589912,0.401416008664,0.664756182833,0.329428474736,0.180597521538,0.100837441154,0.538513611548,0.220994484833,0.823787697883,0.940578777533,0.0577938343713,0.416740170961,0.159770913262,0.215216430682,0.821316693818,0.240603237917,0.961961195523,0.646030165721,0.376516010085,0.912714411608,0.108246537632,0.955345476129,0.523019443213,0.744535479302,0.415856381449,0.0819792328019,0.216291811855,0.43097608964,0.407647842562,PG,English,USA,"Mark Osborne, John Stevenson",2008,"Animation, Action, Adventure",92,"311,115",Jack Black, Dustin Hoffman,5473.0,0.23698154577,1.25833979829,0.875157594994
Vigilante Diaries,0.0429234373623,0.151664612985,0.0401469923806,0.872621548009,0.155076586364,0.271342854798,0.156348524508,0.57805573473,0.58959810819,0.227259692391,0.534414090019,0.0275975194168,0.150597835333,0.0410121537068,0.466549243427,0.215146837074,0.857024652435,0.406475753837,0.173347888843,0.788598329854,0.872657568787,0.93869982983,0.737905415202,0.334427353653,0.401972973121,0.160093281714,0.256104262556,0.0711731911757,0.82307284825,0.200887083775,R,"English, French",USA,Christian Sesma,2016,Action,107,"2,322",Jason Mewes, Quinton 'Rampage' Jackson,7423.0,0.212313080965,1.35053492763,0.87964722478
Eat the Rich,0.178030974835,0.388063747717,0.0837129127931,0.650406460769,0.170408882189,0.184808285247,0.148407156716,0.359802595784,0.40905429973,0.367234915072,0.785128421284,0.0908411893111,0.443624764231,0.12150788974,0.597660086547,0.786405146403,0.763837805743,0.736251717217,0.525773333617,0.601502132792,0.766349607522,0.832579272223,0.888915215948,0.355358745432,0.633148190749,0.383680883033,0.377477522468,0.17386519031,0.596563002562,0.398559648423,R,English,UK,Peter Richardson,1987,"Action, Comedy, Crime",90,"1,022",Kevin Allen, Ronald Allen,5984.0,0.255347593583,1.61512027491,0.894932796235
Universal Soldier: Day of Reckoning,0.433520138244,0.634048638502,0.0849791688118,0.69432305434,0.341782830111,0.248418740479,0.271703163761,0.591880251219,0.251713308093,0.655185550825,0.958710413976,0.0674272962672,0.817653643609,0.178484977747,0.265750361914,0.927070566649,0.793385984702,0.974709985769,0.889803968128,0.733741570846,0.701166975148,0.736535997517,0.794345911194,0.152341535497,0.539726127682,0.365863766332,0.150702388837,0.122780391223,0.736137877596,0.0577364169057,R,English,USA,John Hyams,2012,"Action, Horror, Mystery",114,"16,292",Jean-Claude Van Damme, Dolph Lundgren,2954.0,0.297224102911,1.17215568862,0.893851110433
Jaws: The Revenge,0.427381504425,0.61619567209,0.0307739080281,0.883606227199,0.415043810507,0.412237495814,0.278730610241,0.810451973962,0.421322819234,0.724527355813,0.926472562909,0.0223882028846,0.455823596475,0.0384862591367,0.497014483573,0.667609594558,0.935012355699,0.904674775675,0.696787746036,0.75972281481,0.787138704991,0.950724789963,0.665408562925,0.106819529243,0.375321820657,0.116941276628,0.0940336009779,0.161170477099,0.872870023584,0.0708619041362,PG-13,English,USA,Joseph Sargent,1987,"Adventure, Horror, Thriller",89,"31,253",Lorraine Gary, Lance Guest,6297.0,0.235826584088,1.41391941392,0.848495795025
Jaws,0.247452269986,0.353229418222,0.0369721823359,0.888429946068,0.485062782056,0.526009581307,0.376638731625,0.757583742926,0.439668058655,0.657716400853,0.841967465533,0.0164069381148,0.318878224406,0.0321637596893,0.584301612549,0.573939610914,0.8397427763,0.683427201081,0.438036889559,0.801871399094,0.910477360057,0.853694905994,0.932321924843,0.317212282031,0.41412030702,0.204436207278,0.168400220032,0.147110465891,0.510205200148,0.251837584207,PG,English,USA,Steven Spielberg,1975,"Adventure, Drama, Thriller",124,"417,370",Roy Scheider, Robert Shaw,8189.0,0.232018561485,1.49262899263,0.893548120063
Hotel Chevalier,0.0915933372585,0.252719445538,0.376005091034,0.652255260413,0.23522849261,0.752585847751,0.273638062312,0.382392945885,0.799683974038,0.148026701373,0.447457463302,0.386187931716,0.52224623819,0.481087831621,0.481632630272,0.0779603111272,0.630666267339,0.665043373224,0.334009194799,0.759195631268,0.381206904443,0.823136999762,0.148668987268,0.199321194398,0.154148485712,0.466433671423,0.819833620125,0.227003590636,0.746269233261,0.167321897314,R,"English, French","USA, France",Wes Anderson,2007,"Short, Drama, Romance",13,"23,592",Jason Schwartzman, Natalie Portman,289.0,0.615916955017,1.50877192982,0.870471070181
Inside the Living Body,0.380181831887,0.683573611604,0.898707939091,0.582650730261,0.462189406333,0.704748444244,0.561287108055,0.148004425422,0.38351019038,0.839358555385,0.64129462738,0.463748689187,0.865144938345,0.536142968908,0.269776988656,0.962846520399,0.048031414292,0.57176225868,0.950138167882,0.680494592395,0.775979788591,0.00464397177113,0.995779183378,0.985810195664,0.982869615564,0.917632415357,0.188430715953,0.485337996704,0.00661630956248,0.997126434635,N/A,English,UK,Martin Williams,2007,Documentary,90,164,Howard Ward, Ellie-Jo Brooks,6585.0,0.270918754746,1.52627189324,0.919565056505
