,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf
Insidious: Chapter 2,0.604066532643,0.786498257211,0.116613493256,0.561332325544,0.333268252851,0.158829529457,0.171423437124,0.64659545649,0.144119414571,0.69193521924,0.983792108982,0.1055332143,0.798774041697,0.243003952329,0.324992576655,0.93320242558,0.741472767272,0.994077686618,0.918815160737,0.56436465797,0.619083830628,0.646889677578,0.648434426397,0.082065871012,0.473222224135,0.33063076098,0.160427984724,0.0925258332813,0.750955875936,0.0463766342001,PG-13,English,"USA, Canada",James Wan,2013,"Fantasy, Horror, Thriller",106,"111,459",Patrick Wilson, Rose Byrne,4956.0,0.215496368039,1.19652173913,0.875195509016
Jawbreaker,0.45758521739,0.776427913274,0.16935276705,0.577263967582,0.264212068531,0.15158193861,0.0897964029355,0.547939537846,0.147525926906,0.712391142697,0.928107536625,0.231302000217,0.784702977661,0.367799001911,0.528384621176,0.934167421977,0.619830994207,0.951570355844,0.836210822507,0.531660341867,0.460764318594,0.558760080542,0.858515410539,0.119466021463,0.788471277065,0.286934264224,0.298607634303,0.078140476622,0.659472635266,0.458450708563,R,English,USA,Darren Stein,1999,"Comedy, Crime, Thriller",87,"18,964",Rose McGowan, Rebecca Gayheart,6606.0,0.226914925825,1.46367521368,0.870053965472
16 Wishes,0.440193713109,0.677334846337,0.0549486982069,0.672231637871,0.282819909081,0.230544230785,0.255487923786,0.743583655566,0.424231865698,0.536742617026,0.948458362151,0.080738393749,0.710861354817,0.182503273756,0.412983955764,0.617345162254,0.886690677959,0.954770592292,0.781677084224,0.653904113198,0.811915113873,0.949413925093,0.574804655249,0.120642577069,0.598629213415,0.207536063006,0.164038032044,0.143953695165,0.914323394877,0.0864077860712,G,English,"Canada, USA",Peter DeLuise,2010,"Drama, Family, Fantasy",90,"8,018",Debby Ryan, Jean-Luc Bilodeau,9106.0,0.166922907973,1.27116066903,0.874968377719
The SpongeBob Movie: Sponge Out of Water,0.554964268655,0.864996652458,0.199580098265,0.926337685338,0.37762968179,0.386323295951,0.089365611932,0.797225383151,0.245544124446,0.950559148962,0.964521535299,0.0130600631933,0.328626278815,0.0446281304355,0.284270086947,0.598346324278,0.573700667966,0.86705001322,0.714336479657,0.55908697568,0.946399775838,0.488455423099,0.735667574249,0.188989438661,0.67967458186,0.0721123306161,0.0119286295259,0.291730330861,0.746668481277,0.437491150728,PG,English,USA,"Paul Tibbitt, Mike Mitchell",2015,"Animation, Adventure, Comedy",92,"35,174",Antonio Banderas, Eric Bauza,6902.0,0.22949869603,1.63855421687,0.850308150203
Not Another Teen Movie,0.298343479775,0.461953160543,0.0367371813364,0.715075749771,0.29346219173,0.439127082365,0.250694158656,0.679310068327,0.466663207843,0.393908507349,0.769648037874,0.0879836015854,0.479833588766,0.146418679853,0.627870185683,0.625236622909,0.929266770348,0.67164367827,0.678553321394,0.818798880953,0.656048801665,0.957094017516,0.65003993734,0.128596704415,0.429667073497,0.163775240232,0.342095752123,0.143130242023,0.839832476962,0.156036199943,R,English,USA,Joel Gallen,2001,Comedy,89,"81,234",Chyler Leigh, Chris Evans,5911.0,0.268990018609,1.46166263115,0.879637078398
Corner Gas: The Movie,0.369772574159,0.722456035082,0.0573862369133,0.74403679341,0.393363851359,0.272316531688,0.271364669334,0.681772276387,0.208936635811,0.7192005658,0.934558368134,0.0235627001268,0.257469334726,0.0736231301603,0.525582757164,0.649028092525,0.793519268178,0.795055046764,0.510337730961,0.648473782524,0.870264464838,0.863289022663,0.817439843326,0.0655279195045,0.446717899719,0.187179172678,0.12043650726,0.232750217151,0.626380016711,0.287356913207,N/A,English,Canada,David Storey,2014,Comedy,90,"1,269",Brent Butt, Gabrielle Miller,11895.0,0.199327448508,1.42454328832,0.869443899501
Videodrome,0.385654354119,0.627225339215,0.307938340183,0.642190291861,0.361730536542,0.29870115233,0.219296821726,0.512902107568,0.254328483969,0.69114864736,0.92491227786,0.104158275952,0.609308138399,0.197152670505,0.368990040196,0.756212775823,0.43096318925,0.8990317746,0.664363008373,0.658162440473,0.920724687802,0.266110267864,0.948899000359,0.537670051515,0.662491561589,0.43247994322,0.1624043876,0.153237458082,0.343097272882,0.497559278713,R,English,Canada,David Cronenberg,1983,"Horror, Mystery, Sci-Fi",87,"61,836",James Woods, Sonja Smits,5445.0,0.247566574839,1.36772486772,0.89676760256
Easy Virtue,0.548925077969,0.71294676141,0.304466893778,0.586791098195,0.424791652559,0.317905435426,0.21327350093,0.435242812909,0.208812905942,0.720449166451,0.922070262148,0.282520034753,0.834963477299,0.319560507528,0.543044056128,0.980920704249,0.493226321864,0.876967636804,0.888357333414,0.535400848067,0.348131834645,0.297482446954,0.932613914334,0.465085340902,0.796597072398,0.513420116758,0.438518024279,0.230808594048,0.373349054051,0.442356681286,PG-13,"English, French","UK, Canada",Stephan Elliott,2008,"Comedy, Romance",97,"16,527",Jessica Biel, Ben Barnes,8960.0,0.270982142857,1.54849498328,0.906228694814
Eating Out: All You Can Eat,0.149812657953,0.37330862685,0.101385747737,0.457007784825,0.150701847434,0.151263429881,0.120377808324,0.322036423097,0.399057322524,0.252609232344,0.625779843512,0.186652978349,0.588204139417,0.343148563193,0.770670450483,0.613862506256,0.777320404774,0.813466026707,0.635609705568,0.737674420368,0.596374234928,0.894554944876,0.649635863506,0.0921098333444,0.378718032963,0.461149104012,0.41780051635,0.0871192968589,0.69228253123,0.311379793021,NOT RATED,"English, Vietnamese",USA,Glenn Gaylord,2009,"Comedy, Drama, Romance",80,"2,429",Rebekah Kochan, Daniel Skelton,7794.0,0.218373107519,1.26481042654,0.872913864984
Like Crazy,0.726643360667,0.933389007207,0.137742768595,0.433129986792,0.407011634264,0.121543973388,0.320805590052,0.631875925345,0.124829310535,0.826031300851,0.973274882739,0.14577451348,0.795166939401,0.342825706618,0.406260204424,0.933680250051,0.744291301065,0.987235228424,0.907458829434,0.447537658916,0.676962454911,0.699508865799,0.756993982953,0.0779631398067,0.704407280594,0.371649792107,0.107598981802,0.396340931519,0.777793108878,0.310144816522,PG-13,English,USA,Drake Doremus,2011,"Drama, Romance",86,"47,454",Anton Yelchin, Felicity Jones,6706.0,0.19967193558,1.25570469799,0.874284457048
Eating Out 2: Sloppy Seconds,0.0114479140696,0.0554673002588,0.802358627024,0.488883129752,0.249674660544,0.915994480211,0.306826835933,0.0252851753557,0.902084741434,0.0333724262733,0.0310978951787,0.944603944244,0.6626333299,0.845695922952,0.310933806499,0.740699963384,0.303845318879,0.0564594696884,0.543008948711,0.70571979548,0.324123922331,0.293034767237,0.245516882414,0.950508661389,0.660988458324,0.881951178148,0.995428031705,0.149722616792,0.332949943327,0.403870044604,NOT RATED,English,USA,Phillip J. Bartell,2006,"Comedy, Romance",79,"3,090",Jim Verraros, Emily Brooke Hands,6038.0,0.441040079497,1.98536585366,0.828102355418
Video Games: The Movie,0.486935744623,0.693464439434,0.855078693594,0.249966407343,0.217450977097,0.115489517182,0.3049041729,0.0800101827659,0.142238847535,0.820242426538,0.464245439468,0.255299253589,0.399847160102,0.390720512875,0.589894451347,0.784345794991,0.0968367490879,0.509165134629,0.528470929371,0.487826093514,0.727779411221,0.0982948199205,0.996816016323,0.793650795169,0.863654854258,0.813270555069,0.0477966928317,0.73028165394,0.0349098825211,0.995841991853,N/A,English,USA,Jeremy Snead,2014,"Documentary, Animation, History",101,"4,516",Sean Astin, Al Alcorn,14074.0,0.178414096916,1.22675026123,0.900568199903
Angels Fall,0.490922040724,0.719917949247,0.110472789718,0.628558507077,0.275275644289,0.198146365139,0.107367417016,0.522494493596,0.155663453062,0.66909435297,0.96600081828,0.0647738438355,0.629620327167,0.155156521043,0.623119296638,0.846274918777,0.658672329106,0.940516727798,0.785719384609,0.649218008287,0.578689292233,0.640430480351,0.787750515637,0.0641194038778,0.378752696011,0.279259918378,0.177593054017,0.0779213071944,0.553818632355,0.17267593299,TV-14,English,USA,Ralph Hemecker,2007,"Drama, Romance, Thriller",90,"1,456",Heather Locklear, Johnathon Schaech,8167.0,0.202644790009,1.17530732229,0.900069425354
Rigor Mortis,0.560726039786,0.71695717363,0.139677284305,0.805751623679,0.432322216273,0.328305538024,0.264541395597,0.740368383599,0.149485281202,0.876209606813,0.973683024802,0.0597475922464,0.60536276266,0.106619035949,0.526759573567,0.878940323391,0.564716239252,0.968843976961,0.751427314971,0.735699341756,0.568960854505,0.430328511624,0.824341132624,0.15212995132,0.545157546696,0.35876158985,0.0921195724942,0.144309558745,0.501602485574,0.180390819739,N/A,Cantonese,Hong Kong,Juno Mak,2013,"Action, Horror",103,"4,028",Anthony Chan, Siu-Ho Chin,3411.0,0.286426267957,1.1593625498,0.906091428454
Wind Chill,0.509416315457,0.77201175437,0.0425276518674,0.742652783768,0.419002052014,0.326325243178,0.318012712321,0.81959757964,0.238979986466,0.879997161815,0.967909081739,0.0227735340571,0.400574831661,0.0711029753975,0.315540228904,0.529201774605,0.876791485399,0.951937875197,0.576696439065,0.647182580858,0.821261400815,0.897680226885,0.605725808096,0.023705348189,0.30876452389,0.152895421208,0.0632714939514,0.243502753991,0.768760039699,0.0920082304899,R,English,"USA, UK",Gregory Jacobs,2007,"Drama, Horror, Thriller",91,"17,771",Emily Blunt, Ashton Holmes,4968.0,0.229066022544,1.08743633277,0.875299163805
Ring the Bell,0.222243269747,0.369525273239,0.723124990032,0.295161038703,0.172308072445,0.320315838967,0.0937787241193,0.0489975190866,0.461006095986,0.212433645005,0.605420687965,0.747601498949,0.758081333766,0.729848208528,0.470461773188,0.908383478632,0.182521829388,0.852984580105,0.811131594375,0.365468947034,0.474499794919,0.149556254071,0.604637444943,0.827255528041,0.619541149731,0.888947906663,0.868262615414,0.0817861589638,0.237461949305,0.414767409467,PG,English,USA,Thomas Weber,2013,Drama,97,326,Ryan Scharoun, Ashley Nicole Anderson,5633.0,0.242322030889,1.13383665065,0.879744062757
Universal Soldier Regeneration: Behind the Lines,0.539621048787,0.58886897879,0.221018659664,0.643194783258,0.611837300851,0.63842458863,0.584399308348,0.700714659281,0.240537573307,0.765020613813,0.916297506968,0.0591973959902,0.473589581652,0.0871492120891,0.169048235036,0.872793880972,0.597115984248,0.761086952086,0.742104968367,0.860713847131,0.790149345492,0.22166638386,0.983890112778,0.262311507416,0.550429963438,0.324402569866,0.164416525148,0.357241545137,0.285565949814,0.397281955725,N/A,English,USA,N/A,2010,"Documentary, Short",18,11,Andrei Arlovski, Aki Avni,4007.0,0.296980284502,1.23180291153,0.909122904928
Megamind: The Button of Doom,0.316334030653,0.623777706133,0.50828175085,0.779886691856,0.189991503425,0.166422214245,0.0736445222147,0.392779619217,0.192796407985,0.677462595297,0.847843805892,0.0802090518446,0.111395066822,0.174377311203,0.223201584254,0.535720567659,0.102242045442,0.870586109381,0.172647274515,0.266055628351,0.839440919576,0.160232071819,0.910123688761,0.599485944306,0.691754901365,0.580877674252,0.27156238528,0.149489199809,0.149081819058,0.443442938475,N/A,English,USA,Simon J. Smith,2011,"Animation, Short, Comedy",16,"1,439",Will Ferrell, David Cross,1150.0,0.471304347826,1.64347826087,0.83681451789
Hot Lead and Cold Feet,0.353339123798,0.64599727565,0.0553090105161,0.897431245223,0.385979372132,0.330135219322,0.230343723571,0.73183199703,0.300902296966,0.710926548838,0.939938309853,0.0347312666025,0.519542009064,0.0508891136251,0.326111242757,0.790143172836,0.858152447963,0.843895007234,0.653776553493,0.652324206633,0.71187562041,0.796615762952,0.752786198813,0.238627248485,0.53466759494,0.147127543047,0.185571278421,0.197762176991,0.828224196368,0.052519813991,G,English,USA,Robert Butler,1978,"Family, Western, Action",90,867,Jim Dale, Karen Valentine,7949.0,0.218769656561,1.50632149308,0.879771388877
Megamind,0.533235198059,0.750973807596,0.190301798829,0.616231278426,0.317308007771,0.296308348827,0.205237499236,0.485832046443,0.309943686826,0.632620050255,0.916430147799,0.0724546120329,0.540610990085,0.147862851223,0.304011942881,0.880920244273,0.643884462293,0.887072148591,0.749866794436,0.553595036861,0.819697458936,0.596275010561,0.89305853234,0.411122530565,0.618498275973,0.299306157057,0.118748477724,0.339591601027,0.612502514657,0.32715946499,PG,English,USA,Tom McGrath,2010,"Animation, Action, Comedy",95,"175,190",Will Ferrell, Brad Pitt,8173.0,0.221827970146,1.36095346198,0.875448311189
13B: Fear Has a New Address,0.444071436888,0.531417003152,0.319310068413,0.609299286796,0.412716817349,0.370303231797,0.356669762281,0.584793088576,0.238811997325,0.565514851746,0.920283749948,0.355154871289,0.679933611409,0.405343581423,0.166388041495,0.879461972264,0.612042779762,0.965987557159,0.769726631432,0.664862770959,0.27688986138,0.415470386837,0.707024030884,0.238851185026,0.36439534346,0.569176832427,0.587910066655,0.135571683963,0.411065317237,0.0965774241664,NOT RATED,Hindi,India,Vikram K. Kumar,2009,"Drama, Horror, Mystery",146,"2,983",Madhavan, Neetu Chandra,11929.0,0.145863022885,1.35397279885,0.904281462366
Quantum Apocalypse,0.568998382105,0.615127958521,0.067045367607,0.840346026922,0.655023140781,0.759718519992,0.474254984506,0.860241209769,0.272197392272,0.862687926568,0.933418338507,0.0125758651143,0.206090050675,0.0216708196249,0.196502629061,0.470569662647,0.746948179257,0.731638781706,0.564234016206,0.897285949105,0.83612521854,0.694434122757,0.907714906665,0.115912705706,0.218913272368,0.144668913987,0.0732635654429,0.314410680889,0.496522444898,0.177116032334,UNRATED,English,"USA, Germany",Justin Jones,2010,Sci-Fi,95,"1,539",Rhett Giles, Stephany Jacobsen,6179.0,0.2655769542,1.41623616236,0.907631366583
Private Benjamin,0.56515938123,0.586522586403,0.0597999648085,0.659616271033,0.573747381526,0.605809030878,0.486991231648,0.80586761334,0.317341594998,0.637519727728,0.893676198077,0.101412627094,0.652251568909,0.143649750055,0.336679139379,0.845680927086,0.894024842006,0.732197896356,0.832005722279,0.852525196113,0.600680480973,0.719461722132,0.87687781824,0.193276758623,0.521953985508,0.196333991938,0.287750195465,0.324257897981,0.780685250544,0.131643416991,R,English,USA,Howard Zieff,1980,"Comedy, War",109,"18,403",Goldie Hawn, Eileen Brennan,7407.0,0.256244093425,1.42975734355,0.901635530249
Ghost Bride,0.612990079461,0.828841590427,0.0526483493899,0.995755938059,0.542518795572,0.582524536422,0.781274793904,0.868617493795,0.864541833538,0.575421513179,0.92912593165,0.160002013898,0.996100415127,0.184595055412,0.0658862368489,0.973347810258,0.947825355222,0.945293311967,0.969038749314,0.54848915163,0.759746891641,0.8024055523,0.829515012747,0.83803920634,0.999759170931,0.338438434948,0.0492380927307,0.575811769635,0.995723228907,0.34059539684,N/A,"English, Chinese",New Zealand,David Blyth,2013,"Fantasy, Thriller",83,133,Yoson An, Rebekah Palmer,100.0,0.5,0.833333333333,0.877485323088
Open Grave,0.229204483492,0.358230583814,0.100086851662,0.529302735017,0.255084808108,0.166885094001,0.276424964029,0.534002568179,0.39181681024,0.337364025397,0.918402535424,0.149673609871,0.662824583299,0.344861665398,0.321250992039,0.778891668408,0.789254447627,0.99572423841,0.731982161532,0.619264534673,0.79498952914,0.866215869655,0.524236607949,0.123294899503,0.286785819437,0.57879215132,0.411404721851,0.0311434082734,0.755774502186,0.0140797504644,R,English,"USA, Hungary",Gonzalo López-Gallego,2013,"Horror, Mystery, Thriller",102,"21,940",Sharlto Copley, Thomas Kretschmann,4443.0,0.190186810713,1.16885553471,0.847931171017
Ghost in the Shell Arise: Border 2 - Ghost Whisper,0.259837918118,0.169740473012,0.369468285147,0.489969214977,0.388355877296,0.73898707261,0.41991207867,0.32898652011,0.357051305162,0.443628384979,0.488478554506,0.127414913694,0.158557598749,0.145233071432,0.154545990944,0.84176418787,0.355121620491,0.319114327247,0.460019050938,0.881251921272,0.754479527164,0.117987091257,0.994483571304,0.560506955068,0.308515790041,0.667514878028,0.462258666451,0.243977932274,0.055715499395,0.547584424287,N/A,Japanese,Japan,"Atsushi Takeuchi, Kazuchika Kise",2013,"Animation, Action, Sci-Fi",57,"1,365",Maaya Sakamoto, Ikkyu Juku,3813.0,0.335955940205,1.43109987358,0.940129020882
Northwest Passage,0.400035315016,0.547300182455,0.0855306718317,0.852564005313,0.611793788638,0.446953612934,0.441888956112,0.750676296674,0.151603859829,0.921002300605,0.970485907214,0.0203369920726,0.457577253446,0.0384811283148,0.404605263062,0.856261448249,0.587003834196,0.769131436073,0.508093733427,0.778641340657,0.776605716027,0.457783959989,0.942166282055,0.142637546301,0.554572931181,0.279347799944,0.164945021344,0.16899835765,0.44321459759,0.27023202965,PASSED,English,USA,"King Vidor, Jack Conway, W.S. Van Dyke",1940,"Adventure, Drama, History",126,"2,502",Spencer Tracy, Robert Young,10827.0,0.20079431052,1.34651762683,0.889683180296
Silent Night,0.389272192778,0.506502963468,0.070449158822,0.757286455244,0.278581195647,0.259609578892,0.13778601099,0.574697485413,0.275394746642,0.489732843233,0.839172122627,0.137662839038,0.495753642547,0.169047747982,0.63179966662,0.721293381109,0.819900456685,0.888890331931,0.65493542851,0.57566008931,0.358512010238,0.8792463532,0.707380124084,0.191903341475,0.46694701161,0.319969527382,0.326015816729,0.0805258085483,0.627287789295,0.148821787639,R,English,"Canada, USA",Steven C. Miller,2012,"Comedy, Horror, Mystery",94,"5,607",Malcolm McDowell, Jaime King,5766.0,0.26482830385,1.68320278503,0.904968929894
Signs,0.496054037954,0.589291707131,0.35302234061,0.490793291431,0.208738489252,0.192802409741,0.138268969929,0.314771415134,0.0916389965538,0.836723937226,0.872665380012,0.15892461537,0.626199909627,0.212758862733,0.565216252785,0.868356922637,0.300135167716,0.825410252457,0.751914893178,0.672025069962,0.417113012147,0.285326900017,0.896113974024,0.213471027006,0.5692388946,0.545195572103,0.259516603743,0.117298593483,0.14484321872,0.521206006526,PG-13,"English, Portuguese",USA,M. Night Shyamalan,2002,"Drama, Mystery, Sci-Fi",106,"273,481",Mel Gibson, Joaquin Phoenix,5847.0,0.252266119377,1.16728349371,0.858298003492
Zipper,0.517399094386,0.744394690242,0.0756185833268,0.5399792208,0.616253772428,0.36979096928,0.343209508682,0.758051471866,0.105437681785,0.801752023789,0.983744874819,0.035516714306,0.53832591379,0.108684451189,0.364747093913,0.803423352386,0.699153229476,0.877532598,0.74923838743,0.835821894988,0.765719597589,0.577714247453,0.880918812411,0.0299651729566,0.324937233857,0.207923622535,0.136892011914,0.158156304979,0.586938829401,0.209391451079,R,English,USA,Mora Stephens,2015,"Drama, Thriller",103,"4,306",Patrick Wilson, Lena Headey,8185.0,0.216004886988,1.16425896201,0.909369867986
Only the Valiant,0.580291455033,0.656940493694,0.114196830551,0.79393307931,0.555939136816,0.481960175741,0.274380426433,0.702016924487,0.174933664571,0.790729677387,0.96711240047,0.022179873324,0.54458605192,0.0480384941658,0.342106425827,0.858273830079,0.668834495206,0.90491546561,0.696990992926,0.740688212848,0.636453784259,0.479556199773,0.938133686107,0.127577145147,0.367380549158,0.294680069111,0.125881990578,0.20311174162,0.572238616146,0.134315607604,APPROVED,English,USA,Gordon Douglas,1951,"Adventure, Western",105,866,Gregory Peck, Barbara Payton,8062.0,0.191391714215,1.3134502924,0.901149697021
Eaters,0.283531988594,0.358705659211,0.362015407695,0.537034696275,0.212262390284,0.249202391169,0.135531789944,0.24677434077,0.319154686433,0.373515857202,0.859081266569,0.137881920258,0.54029903517,0.19232672795,0.573621858888,0.830216000659,0.281192400048,0.92831158185,0.726381003684,0.697872922322,0.526772598956,0.275806524942,0.970838880002,0.523047162242,0.529641180997,0.679457915917,0.239668040293,0.0724461338486,0.1827261938,0.326668849178,N/A,Italian,Italy,"Luca Boni, Marco Ristori",2011,Horror,94,"1,236",Alex Lucchesi, Guglielmo Favilla,5679.0,0.247754886424,1.09788566954,0.905712910823
Lilo & Stitch 2: Stitch Has a Glitch,0.475143512438,0.910163429332,0.191737827334,0.765189612399,0.336312003068,0.0994431825678,0.127476469367,0.604282053993,0.146001756162,0.830519802542,0.981931339645,0.0924875194253,0.723304837302,0.305009633052,0.247407432411,0.844707204462,0.60807180631,0.986800592182,0.79814368137,0.388598147329,0.883093719395,0.500209049247,0.717472844516,0.190937241077,0.831973482367,0.282241201658,0.0970804343201,0.203581997425,0.715123595602,0.279787260824,PG,"English, French, Spanish",USA,"Michael LaBash, Anthony Leondis",2005,"Animation, Comedy, Drama",68,"7,417",Chris Sanders, Dakota Fanning,4659.0,0.265507619661,1.51482213439,0.832201849615
Silent Hill: Revelation 3D,0.601812824224,0.719774587283,0.151124815682,0.543899848158,0.357269969105,0.140311659013,0.184735673891,0.615287868825,0.156579843738,0.60642309831,0.994687118098,0.0982373793607,0.847472170388,0.322136071751,0.217063162722,0.950512806909,0.55135544943,0.998373098549,0.922855477416,0.549509965805,0.730868698239,0.421684262146,0.875220303564,0.200993280849,0.651306877047,0.520836148353,0.170298322312,0.0233965703567,0.644320097585,0.0235148018484,R,English,"France, Canada",Michael J. Bassett,2012,"Adventure, Drama, Horror",95,"50,445",Adelaide Clemens, Kit Harington,4132.0,0.228218780252,0.993230174081,0.901416087046
Cotton Comes to Harlem,0.178009272824,0.392439614447,0.0161548215841,0.927075627891,0.428118158246,0.366929930995,0.342882717197,0.786322441401,0.313751011409,0.654022534432,0.927684815149,0.0192074997293,0.546503094724,0.0313483239956,0.275279059457,0.864426340002,0.889778898223,0.680039900995,0.586670290317,0.771843103735,0.902411472173,0.800203561388,0.926789654074,0.348546935943,0.772561762838,0.159040291785,0.232990096379,0.076346378942,0.825805353611,0.118798672975,R,English,USA,Ossie Davis,1970,"Action, Comedy",97,"1,209",Godfrey Cambridge, Raymond St. Jacques,7915.0,0.203032217309,1.45584577114,0.89935729144
Hot Rod,0.35915470005,0.711666696496,0.0545934508428,0.786091363502,0.226569753126,0.104730012193,0.156149184187,0.640968568765,0.25079856232,0.659447061231,0.864435773918,0.0342767160853,0.298610086882,0.111751625248,0.516375522903,0.622896466375,0.879760884142,0.936621029739,0.483034196839,0.461808757238,0.66533220906,0.922877482271,0.546302293525,0.0629368272673,0.408324093723,0.190069843295,0.147104822765,0.21635912318,0.861917022577,0.18169307795,PG-13,English,USA,Akiva Schaffer,2007,Comedy,88,"60,624",Andy Samberg, Jorma Taccone,6912.0,0.221064814815,1.46050870147,0.851044709308
